,prospectid,total_tl,tot_closed_tl,tot_active_tl,total_tl_opened_l6m,tot_tl_closed_l6m,pct_tl_open_l6m,pct_tl_closed_l6m,pct_active_tl,pct_closed_tl,total_tl_opened_l12m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12m,tot_missed_pmnt,auto_tl,cc_tl,consumer_tl,gold_tl,home_tl,pl_tl,secured_tl,unsecured_tl,other_tl,age_oldest_tl,age_newest_tl,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,cc_enq,cc_enq_l6m,cc_enq_l12m,pl_enq,pl_enq_l6m,pl_enq_l12m,time_since_recent_enq,enq_l12m,enq_l6m,enq_l3m,maritalstatus,education,age,gender,netmonthlyincome,time_with_curr_empr,pct_of_active_tls_ever,pct_opened_tls_l6m_of_l12m,pct_currentbal_all_tl,cc_utilization,cc_flag,pl_utilization,pl_flag,pct_pl_enq_l6m_of_l12m,pct_cc_enq_l6m_of_l12m,pct_pl_enq_l6m_of_ever,pct_cc_enq_l6m_of_ever,max_unsec_exposure_inpct,hl_flag,gl_flag,last_prod_enq2,first_prod_enq2,credit_score,approved_flag
0,1,5,4,1,0,0,0.0,0.0,0.2,0.8,0,0,0.0,0.0,0,0,0,0,1,0,4,1,4,0,72.0,18.0,549.0,35.0,15.0,11,29.0,29,0,0,0,,,0,0,21,5,11,0,0,0,0,0,0,0,0,0,29,6.0,0.0,0.0,0.0,6.0,0.0,0.0,566.0,0.0,0.0,0.0,Married,12TH,48,M,51000,114,0.2,0.0,0.798,,0,0.798,1,0.0,0.0,0.0,0.0,13.333,1,0,PL,PL,696,P2
1,2,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7.0,7.0,47.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,1.0,0.0,0.0,Single,GRADUATE,23,F,19000,50,1.0,0.0,0.37,,0,,0,0.0,0.0,0.0,0.0,0.86,0,0,ConsumerLoan,ConsumerLoan,685,P2
2,3,8,0,8,1,0,0.125,0.0,1.0,0.0,2,0,0.25,0.0,1,1,0,6,1,0,0,2,6,0,47.0,2.0,302.0,11.0,3.0,9,25.0,25,1,9,8,25.0,25.0,0,0,10,5,10,0,0,0,0,0,0,0,0,0,25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0.0,0.0,0.0,Married,SSC,40,M,18,191,1.0,0.5,0.585,,0,,0,0.0,0.0,0.0,0.0,5741.667,1,0,ConsumerLoan,others,693,P2
3,4,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,0,0,0,0,1,1,5.0,5.0,,,,0,,0,0,0,0,,,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,SSC,34,M,10000,246,1.0,1.0,0.99,,0,,0,0.0,0.0,0.0,0.0,9.9,0,0,others,others,673,P2
4,5,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,1,0,0,0,0,0,3,0,2,131.0,32.0,583.0,,,0,,0,0,0,0,,,0,0,53,4,16,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3951.0,0.0,0.0,0.0,Married,POST-GRADUATE,48,M,15000,75,0.333,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,AL,AL,753,P1
5,6,6,5,1,0,0,0.0,0.0,0.167,0.833,0,1,0.0,0.167,0,4,0,0,2,0,0,6,0,0,150.0,17.0,245.0,27.0,18.0,14,300.0,270,0,0,0,0.0,0.0,13,11,5,0,2,3,0,1,0,0,0,0,0,0,26,15.0,2.0,0.0,1.0,7.0,3.0,3.0,7.0,6.0,5.0,4.0,Married,12TH,35,M,0,154,0.167,0.0,0.0,,0,,0,1.0,0.0,0.429,0.0,,1,0,ConsumerLoan,PL,668,P3
6,7,3,1,2,1,1,0.333,0.333,0.667,0.333,2,1,0.667,0.333,1,0,0,0,3,0,0,3,0,0,17.0,5.0,49.0,,,0,,0,0,0,0,,,0,0,25,11,20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,SSC,35,M,30000,81,0.667,0.5,0.998,,0,,0,0.0,0.0,0.0,0.0,,1,0,others,others,703,P1
7,8,6,4,2,0,0,0.0,0.0,0.333,0.667,1,2,0.167,0.333,0,1,0,0,0,0,0,6,0,5,36.0,8.0,74.0,23.0,12.0,3,164.0,133,0,0,0,0.0,0.0,2,2,27,0,4,0,0,0,0,0,0,0,0,0,133,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,Married,UNDER GRADUATE,30,M,27000,126,0.333,0.0,0.3,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,others,676,P2
8,9,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,16.0,16.0,424.0,7.0,4.0,3,99.0,38,2,3,1,38.0,99.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1.0,1.0,0.0,Married,SSC,39,F,18000,122,1.0,0.0,0.465,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,others,658,P4
9,10,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,2,66.0,39.0,39.0,,,0,,0,0,0,0,,,0,0,39,4,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,12TH,28,M,18000,68,0.5,0.0,1.121,,0,,0,0.0,0.0,0.0,0.0,3.333,0,0,others,others,705,P1
10,11,7,2,5,1,0,0.143,0.0,0.714,0.286,3,1,0.429,0.143,0,2,1,2,0,0,2,2,5,0,64.0,5.0,35.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,3.0,1.0,1.0,4.0,0.0,0.0,87.0,1.0,1.0,1.0,Single,GRADUATE,27,M,20000,95,0.714,0.333,0.846,0.673,1,0.943,1,0.0,1.0,0.0,0.333,13.064,0,0,CC,others,685,P2
11,12,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,96.0,96.0,2543.0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,SSC,57,F,30000,141,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,682,P2
12,13,2,2,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2,0,1,49.0,49.0,1037.0,24.0,24.0,1,31.0,31,0,0,0,,,1,0,33,4,10,0,0,0,0,0,0,0,0,0,31,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,Married,SSC,30,M,55000,126,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,others,669,P2
13,14,2,1,1,1,0,0.5,0.0,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,16.0,5.0,46.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1.0,1.0,0.0,Married,SSC,39,M,25000,125,0.5,1.0,0.345,,0,,0,0.0,0.0,0.0,0.0,0.288,0,0,ConsumerLoan,ConsumerLoan,687,P2
14,15,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,38.0,38.0,395.0,,,0,,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.0,0.0,0.0,0.0,Married,12TH,27,M,30000,154,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,692,P2
15,16,8,1,7,7,1,0.875,0.125,0.875,0.125,8,1,1.0,0.125,2,1,1,5,0,0,0,1,7,1,9.0,1.0,42.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,13.0,11.0,5.0,Married,12TH,44,M,25000,245,0.875,0.875,0.815,0.161,1,,0,1.0,1.0,1.0,1.0,2.416,0,0,ConsumerLoan,others,643,P4
16,17,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,7.0,7.0,42.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,1.0,0.0,0.0,Married,SSC,30,M,30000,121,1.0,0.0,1.223,,0,,0,0.0,0.0,0.0,0.0,2.533,0,0,others,others,678,P2
17,18,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,6.0,6.0,71.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,12TH,33,M,32000,154,1.0,1.0,0.4,,0,,0,0.0,0.0,0.0,0.0,0.375,0,0,others,others,682,P2
18,19,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,110.0,110.0,2984.0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,12TH,31,M,28000,122,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,691,P2
19,20,7,5,2,1,0,0.143,0.0,0.286,0.714,1,1,0.143,0.143,0,0,0,0,2,0,0,5,2,5,138.0,3.0,80.0,30.0,11.0,8,89.0,89,0,1,1,,22.0,2,1,38,6,12,0,0,0,0,0,0,0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1679.0,0.0,0.0,0.0,Married,UNDER GRADUATE,31,M,48000,126,0.286,1.0,0.539,,0,,0,0.0,0.0,0.0,0.0,6.25,1,0,others,others,720,P1
20,21,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,8.0,8.0,45.0,7.0,7.0,1,14.0,14,0,1,1,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,1.0,1.0,Married,SSC,25,M,65000,129,1.0,0.0,0.5,,0,,0,0.0,0.0,0.0,0.0,0.304,0,0,others,ConsumerLoan,669,P2
21,22,5,2,3,0,1,0.0,0.2,0.6,0.4,2,1,0.4,0.2,1,3,0,1,0,0,1,3,2,0,92.0,10.0,51.0,8.0,8.0,1,15.0,15,0,1,1,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7.0,0.0,0.0,0.0,4.0,0.0,2.0,200.0,3.0,0.0,0.0,Married,UNDER GRADUATE,35,F,64000,35,0.6,0.0,1.033,,0,0.901,1,0.0,0.0,0.0,0.0,3.109,0,0,PL,others,699,P2
22,23,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,40.0,40.0,97.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,Single,GRADUATE,24,M,15000,60,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,others,678,P2
23,24,1,1,0,0,0,0.0,0.0,0.0,1.0,1,1,1.0,1.0,0,0,0,0,0,0,0,1,0,1,11.0,11.0,,,,0,,0,0,0,0,,,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Single,OTHERS,21,M,16000,36,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,689,P2
24,25,3,1,2,0,0,0.0,0.0,0.667,0.333,1,1,0.333,0.333,0,0,0,0,0,0,0,1,2,3,51.0,10.0,77.0,,,0,,0,0,0,0,,,0,0,60,8,22,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,1.0,0.0,0.0,Single,12TH,22,M,30000,121,0.667,0.0,0.895,,0,,0,0.0,0.0,0.0,0.0,5.429,0,0,others,others,702,P3
25,26,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,17.0,17.0,65.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Single,12TH,21,M,35000,275,1.0,0.0,0.943,,0,,0,0.0,0.0,0.0,0.0,,0,1,others,others,677,P2
26,27,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,59.0,59.0,1341.0,35.0,10.0,10,190.0,190,0,2,2,,190.0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,190,3.0,2.0,1.0,1.0,0.0,0.0,0.0,58.0,1.0,1.0,1.0,Single,12TH,28,M,20000,39,0.0,0.0,0.0,,1,,0,0.0,1.0,0.0,0.5,,0,0,CC,others,660,P3
27,28,11,6,5,1,1,0.091,0.091,0.455,0.545,3,1,0.273,0.091,2,1,0,1,8,0,0,9,2,1,37.0,3.0,76.0,,,0,,0,0,0,0,0.0,0.0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,156.0,1.0,1.0,0.0,Married,12TH,30,F,10000,23,0.455,0.333,0.902,,0,,0,1.0,0.0,1.0,0.0,,1,0,PL,others,685,P2
28,29,42,34,8,2,2,0.048,0.048,0.19,0.81,5,3,0.119,0.071,3,0,0,0,26,1,0,35,7,15,159.0,4.0,88.0,34.0,34.0,1,183.0,183,0,0,0,,0.0,1,1,107,17,43,0,0,0,0,0,0,0,0,0,183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,Married,SSC,37,F,25000,101,0.19,0.4,0.979,,0,,0,0.0,0.0,0.0,0.0,,1,1,HL,HL,740,P1
29,30,3,0,3,2,0,0.667,0.0,1.0,0.0,3,0,1.0,0.0,2,0,0,2,0,0,0,0,3,1,10.0,2.0,77.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,71.0,3.0,1.0,1.0,Single,GRADUATE,33,M,50000,80,1.0,0.667,0.442,,0,,0,0.0,0.0,0.0,0.0,0.534,0,0,others,CC,678,P2
30,31,10,2,8,3,0,0.3,0.0,0.8,0.2,5,2,0.5,0.2,2,3,1,2,0,2,0,5,5,2,38.0,2.0,68.0,32.0,6.0,4,56.0,25,0,2,2,0.0,56.0,1,0,31,5,11,0,0,0,0,0,0,0,0,0,25,14.0,1.0,1.0,1.0,3.0,2.0,3.0,60.0,12.0,9.0,2.0,Single,POST-GRADUATE,22,M,50000,64,0.8,0.6,0.835,1.0,1,,0,0.667,1.0,0.667,1.0,7.445,0,1,others,others,671,P2
