pct_tl_open_l6m,pct_tl_closed_l6m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12m,tot_missed_pmnt,cc_tl,home_tl,pl_tl,secured_tl,unsecured_tl,other_tl,age_oldest_tl,age_newest_tl,time_since_recent_payment,time_since_recent_deliquency,max_delinquency_level,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_60p_dpd,num_std_12mts,num_sub,num_sub_12mts,num_dbt,num_dbt_12mts,num_lss,recent_level_of_deliq,cc_enq_l12m,pl_enq_l12m,time_since_recent_enq,enq_l3m,netmonthlyincome,time_with_curr_empr,cc_utilization,cc_flag,pl_flag,pct_pl_enq_l6m_of_ever,pct_cc_enq_l6m_of_ever,hl_flag,gl_flag,maritalstatus,education,gender,last_prod_enq2,first_prod_enq2,approved_flag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,72.0,18.0,549.0,15.0,29.0,0.0,7.983258718892198,7.383062752464018,0.0,11.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,566.0,0.0,51000.0,114.0,0.7806530527805841,0.0,1.0,0.0,0.0,1.0,0.0,Married,12TH,M,PL,PL,P2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,47.0,15.654749927559047,52.57700846220691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,19000.0,50.0,0.8716840052169276,0.0,0.0,0.0,0.0,0.0,0.0,Single,GRADUATE,F,ConsumerLoan,ConsumerLoan,P2
0.125,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,47.0,2.0,302.0,3.0,25.0,8.0,25.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,587.0,0.0,18.0,191.0,0.7731013126210524,0.0,0.0,0.0,0.0,1.0,0.0,Married,SSC,M,ConsumerLoan,others,P2
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,60.280302491159055,4.730369561884887,8.133328298113616,0.0,2.3746916505828,3.545006186339004,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2340629071512407,222.89227526878025,0.0,10000.0,246.0,0.8693699930031868,0.0,0.0,0.0,0.0,0.0,0.0,Married,SSC,M,others,others,P2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,131.0,32.0,583.0,8.96151797287584,47.54494026513616,0.0,8.326775559760177,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3951.0,0.0,15000.0,75.0,0.5680531943703329,0.0,0.0,0.0,0.0,0.0,0.0,Married,POST-GRADUATE,M,AL,AL,P1
0.0,0.0,1.0,0.0,0.167,0.0,0.0,0.0,0.0,6.0,0.0,0.0,150.0,17.0,245.0,18.0,300.0,0.0,0.0,0.0,11.0,2.0,3.0,1.0,0.0,0.0,0.0,26.0,1.0,3.0,7.0,4.0,0.0,154.0,0.7166769409494929,0.0,0.0,0.429,0.0,1.0,0.0,Married,12TH,M,ConsumerLoan,PL,P3
0.333,0.333,1.0,0.667,0.333,1.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,5.0,49.0,5.656939893360104,4.429211710131053,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4855184689037248,418.1984248054749,0.0,30000.0,81.0,0.8398092022647838,0.0,0.0,0.0,0.0,1.0,0.0,Married,SSC,M,others,others,P1
0.0,0.0,2.0,0.167,0.333,0.0,0.0,0.0,0.0,6.0,0.0,5.0,36.0,8.0,74.0,12.0,164.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,2.0,1.0,27000.0,126.0,0.6224736115247778,0.0,0.0,0.0,0.0,0.0,0.0,Married,UNDER GRADUATE,M,ConsumerLoan,others,P2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,16.0,424.0,4.0,99.0,1.0,38.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,108.0,0.0,18000.0,122.0,0.5854115961730598,0.0,0.0,0.0,0.0,0.0,0.0,Married,SSC,F,ConsumerLoan,others,P4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,66.0,39.0,39.0,15.367068370880524,24.82504291780556,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.9604717308186,0.3144000650407673,18000.0,68.0,0.4905682102005094,0.0,0.0,0.0,0.0,0.0,0.0,Married,12TH,M,others,others,P1
