,number,value,datetime_start,datetime_complete,duration,params_model__colsample_bylevel,params_model__eta,params_model__grow_policy,params_model__learning_rate,params_model__max_depth,params_model__min_child_weight,params_model__n_estimators,params_model__reg_lambda,params_model__subsample,state
0,0,0.7906399142884971,2025-07-06 16:08:28.724120,2025-07-06 16:08:53.960448,0 days 00:00:25.236328,0.30516582284023436,0.5596629574256671,lossguide,0.6950851412984461,10,0.994400932961452,886,417,0.6478690251621665,COMPLETE
1,1,0.7876205318009155,2025-07-06 16:08:53.962310,2025-07-06 16:09:16.279547,0 days 00:00:22.317237,0.6605738627972367,0.3924160573840184,depthwise,0.8140870795672722,10,0.5974921885232557,598,71,0.8747927184562103,COMPLETE
2,2,0.792003506379663,2025-07-06 16:09:16.281860,2025-07-06 16:09:18.080044,0 days 00:00:01.798184,0.42607980318834615,0.8464461346072327,lossguide,0.18680589807052417,2,0.9965324557636601,122,120,0.2661343136475768,COMPLETE
3,3,0.7967273789812019,2025-07-06 16:09:18.081341,2025-07-06 16:09:43.843573,0 days 00:00:25.762232,0.746330470833815,0.5352613303623776,lossguide,0.034052204758342614,7,0.27158737392813126,854,871,0.6705739898221794,COMPLETE
4,4,0.7791954806662121,2025-07-06 16:09:43.845355,2025-07-06 16:09:44.516549,0 days 00:00:00.671194,0.49833150604461923,0.811759970729758,lossguide,0.7978129638360892,3,0.13159032079607413,13,644,0.7425332661888783,COMPLETE
5,5,0.798724067400409,2025-07-06 16:09:44.518013,2025-07-06 16:09:56.414403,0 days 00:00:11.896390,0.7740492320346166,0.6797587516090303,depthwise,0.4389669697858908,10,0.2192627913855866,316,964,0.5305837556058473,COMPLETE
6,6,0.7977744229083472,2025-07-06 16:09:56.416200,2025-07-06 16:10:02.148936,0 days 00:00:05.732736,0.5084884120415984,0.583928179433895,depthwise,0.8980936086758396,3,0.7016910436118101,355,869,0.5061465138100116,COMPLETE
7,7,0.8001363592091166,2025-07-06 16:10:02.150798,2025-07-06 16:10:05.248982,0 days 00:00:03.098184,0.7003303678866284,0.43850392545988004,lossguide,0.24863572000421155,4,0.10089013343630544,132,368,0.46922776469057526,COMPLETE
8,8,0.7947793902795364,2025-07-06 16:10:05.250589,2025-07-06 16:10:15.461875,0 days 00:00:10.211286,0.7093796117419762,0.24378092725706513,depthwise,0.17957179601938816,6,0.6518367342142378,341,49,0.6465271955140112,COMPLETE
9,9,0.7937079964936203,2025-07-06 16:10:15.463727,2025-07-06 16:10:40.307084,0 days 00:00:24.843357,0.2424117505141853,0.5176811629715796,depthwise,0.6342372436044136,4,0.20279600835762746,902,833,0.17434226136310488,COMPLETE
10,10,0.7937810460699328,2025-07-06 16:10:40.308943,2025-07-06 16:10:58.055802,0 days 00:00:17.746859,0.5991223721145874,0.18522724875398217,lossguide,0.374623066233705,5,0.3983756567742623,641,355,0.33714886144120393,COMPLETE
11,11,0.7989432161293465,2025-07-06 16:10:58.057378,2025-07-06 16:11:04.901725,0 days 00:00:06.844347,0.7818805648933587,0.7507833288350331,depthwise,0.423031604508735,8,0.3865998459002666,244,609,0.4578361789367792,COMPLETE
12,12,0.7996250121749293,2025-07-06 16:11:04.903423,2025-07-06 16:11:10.323009,0 days 00:00:05.419586,0.7909560207114004,0.9774625351173428,lossguide,0.31521347075949174,8,0.42498024226498465,198,611,0.3819403302881396,COMPLETE
13,13,0.8002824583617415,2025-07-06 16:11:10.324544,2025-07-06 16:11:14.656481,0 days 00:00:04.331937,0.6364993625552667,0.9956631118988113,lossguide,0.2486165415267274,8,0.43602041607476005,140,302,0.3692321814052427,COMPLETE
14,14,0.6287133534625499,2025-07-06 16:11:14.658256,2025-07-06 16:11:15.717391,0 days 00:00:01.059135,0.6078418473986993,0.36523136847827,lossguide,0.0037607707215621122,6,0.7885401774175937,26,236,0.11003302600827214,COMPLETE
15,15,0.796581279828577,2025-07-06 16:11:15.718634,2025-07-06 16:11:30.008587,0 days 00:00:14.289953,0.6425119667013072,0.9997177565258408,lossguide,0.23414526214297454,8,0.4913612858631361,452,267,0.2545855138418338,COMPLETE
16,16,0.800209408785429,2025-07-06 16:11:30.010522,2025-07-06 16:11:33.813130,0 days 00:00:03.802608,0.5300151515739246,0.37868969850332834,lossguide,0.5576760192661474,5,0.1005782638578143,142,501,0.41703440107331874,COMPLETE
17,17,0.7936349469173078,2025-07-06 16:11:33.815835,2025-07-06 16:11:50.274823,0 days 00:00:16.458988,0.51241158626872,0.31360412007466065,lossguide,0.5705602257789373,7,0.31505445601086274,488,496,0.3840504220443146,COMPLETE
18,18,0.789032823609623,2025-07-06 16:11:50.276293,2025-07-06 16:12:18.051642,0 days 00:00:27.775349,0.39257843644722074,0.1175527861213922,lossguide,0.489910103194781,5,0.5308108346337445,745,240,0.26744986861468667,COMPLETE
19,19,0.7983101198013052,2025-07-06 16:12:18.053600,2025-07-06 16:12:23.632886,0 days 00:00:05.579286,0.5595352496801191,0.6679498650929322,lossguide,0.5585840153367294,9,0.8292189556312786,133,505,0.35253996603768195,COMPLETE
