,col_name,p_value
0,total_tl,0.0
1,tot_closed_tl,0.0
2,tot_active_tl,0.0
3,total_tl_opened_l6m,2.4972232725706035e-288
4,tot_tl_closed_l6m,1.1182789830567206e-83
5,pct_tl_open_l6m,0.0
6,pct_tl_closed_l6m,1.1781272404619804e-45
7,pct_active_tl,0.0
8,pct_closed_tl,0.0
9,total_tl_opened_l12m,3.773879331627292e-204
10,tot_tl_closed_l12m,1.3861624392704007e-173
11,pct_tl_open_l12m,0.0
12,pct_tl_closed_l12m,1.2670803677714303e-37
13,tot_missed_pmnt,9.42573272649787e-251
14,auto_tl,1.6879051833425814e-271
15,cc_tl,6.56078554254233e-64
16,consumer_tl,1.7216938040405989e-72
17,gold_tl,4.3344121116238126e-254
18,home_tl,0.0
19,pl_tl,1.2269399067470239e-274
20,secured_tl,0.0
21,unsecured_tl,3.3821656135356894e-182
22,other_tl,0.0
23,age_oldest_tl,0.0
24,age_newest_tl,2.4123582803305045e-126
25,time_since_recent_payment,1.0086280088574119e-95
26,time_since_first_deliquency,6.098256550849225e-279
27,time_since_recent_deliquency,1.8048411472959444e-97
28,num_times_delinquent,3.680120257669719e-126
29,max_delinquency_level,9.086710757632462e-112
30,max_recent_level_of_deliq,2.097782351021545e-118
31,num_deliq_6mts,1.4644209156998868e-28
32,num_deliq_12mts,3.7513447485542437e-73
33,num_deliq_6_12mts,1.7866283865797342e-87
34,max_deliq_6mts,1.5274200870583995e-68
35,max_deliq_12mts,1.8973351580172643e-173
36,num_times_30p_dpd,3.8439545560919927e-106
37,num_times_60p_dpd,9.884230133483059e-88
38,num_std,0.0
39,num_std_6mts,0.0
40,num_std_12mts,0.0
41,num_sub,6.367117592525499e-26
42,num_sub_12mts,0.0035075613528853257
43,num_dbt,6.978124728595505e-11
44,num_dbt_12mts,0.008161979573840848
45,num_lss,0.010875102553297806
46,recent_level_of_deliq,4.046828414494082e-140
47,tot_enq,0.0
48,cc_enq,6.676287055817025e-250
49,cc_enq_l6m,0.0
50,cc_enq_l12m,0.0
51,pl_enq,0.0
52,pl_enq_l6m,0.0
53,pl_enq_l12m,0.0
54,time_since_recent_enq,0.0
55,enq_l12m,0.0
56,enq_l6m,0.0
57,enq_l3m,0.0
58,age,0.0
59,netmonthlyincome,1.2338378731721617e-30
60,time_with_curr_empr,8.397528424688873e-281
61,pct_of_active_tls_ever,0.0
62,pct_opened_tls_l6m_of_l12m,3.47652108178992e-254
63,cc_utilization,7.967993377376079e-102
64,cc_flag,9.426758112607257e-58
65,pl_utilization,0.0
66,pl_flag,1.3746321783207732e-177
67,pct_pl_enq_l6m_of_l12m,0.0
68,pct_cc_enq_l6m_of_l12m,0.0
69,pct_pl_enq_l6m_of_ever,0.0
70,pct_cc_enq_l6m_of_ever,0.0
71,hl_flag,3.13499050537439e-309
72,gl_flag,5.63024457684785e-310
73,credit_score,0.0
